Saison 64; Spieltag 1; Saarbruecken;0;2; 1. FC Koeln
Saison 64; Spieltag 1; Hertha;1;1; Nuernberg
Saison 64; Spieltag 1;1860;1;1; Braunschweig
Saison 64; Spieltag 1; Karlsruhe;1;4; Duisburg
Saison 64; Spieltag 1; Muenster;1;1; Hamburg
Saison 64; Spieltag 1; Frankfurt;1;1; Kaiserslautern
Saison 64; Spieltag 1; Schalke;2;0; VfB Stuttgart
Saison 64; Spieltag 1; Bremen;3;2; Dortmund
Saison 64; Spieltag 2; Nuernberg;3;0; Bremen
Saison 64; Spieltag 2; 1. FC Koeln;4;0; Karlsruhe
Saison 64; Spieltag 2; Kaiserslautern;2;3; Schalke
Saison 64; Spieltag 2; VfB Stuttgart;2;0; Hertha
Saison 64; Spieltag 2; Braunschweig;1;0; Muenster
Saison 64; Spieltag 2; Dortmund;3;0;1860
Saison 64; Spieltag 2; Hamburg;4;2; Saarbruecken
Saison 64; Spieltag 2; Duisburg;3;1; Frankfurt
Saison 64; Spieltag 3; Frankfurt;2;3; Nuernberg
Saison 64; Spieltag 3; Schalke;3;1; Dortmund
Saison 64; Spieltag 3; Bremen;2;2; VfB Stuttgart
Saison 64; Spieltag 3;1860;1;3; 1. FC Koeln
Saison 64; Spieltag 3; Muenster;4;2; Duisburg
Saison 64; Spieltag 3; Hertha;2;2; Kaiserslautern
Saison 64; Spieltag 3; Karlsruhe;0;4; Hamburg
Saison 64; Spieltag 3; Saarbruecken;2;2; Braunschweig
Saison 64; Spieltag 4; Nuernberg;2;2; Muenster
Saison 64; Spieltag 4; Hamburg;3;0; Frankfurt
Saison 64; Spieltag 4; Kaiserslautern;3;0; Bremen
Saison 64; Spieltag 4; 1. FC Koeln;2;0; Schalke
Saison 64; Spieltag 4; Dortmund;2;1; Saarbruecken
Saison 64; Spieltag 4; Braunschweig;2;0; Karlsruhe
Saison 64; Spieltag 4; Duisburg;1;3; Hertha
Saison 64; Spieltag 4; VfB Stuttgart;1;1;1860
Saison 64; Spieltag 5; Karlsruhe;1;3; Dortmund
Saison 64; Spieltag 5;1860;3;0; Kaiserslautern
Saison 64; Spieltag 5; Saarbruecken;1;5; Nuernberg
Saison 64; Spieltag 5; Schalke;1;0; Hamburg
Saison 64; Spieltag 5; Muenster;4;2; VfB Stuttgart
Saison 64; Spieltag 5; Hertha;0;3; 1. FC Koeln
Saison 64; Spieltag 5; Bremen;1;1; Duisburg
Saison 64; Spieltag 5; Frankfurt;3;0; Braunschweig
Saison 64; Spieltag 6; Nuernberg;2;4; Karlsruhe
Saison 64; Spieltag 6; 1. FC Koeln;4;3; Bremen
Saison 64; Spieltag 6; Kaiserslautern;0;0; Muenster
Saison 64; Spieltag 6; Duisburg;3;0;1860
Saison 64; Spieltag 6; Dortmund;3;0; Frankfurt
Saison 64; Spieltag 6; VfB Stuttgart;3;1; Saarbruecken
Saison 64; Spieltag 6; Braunschweig;4;3; Schalke
Saison 64; Spieltag 6; Hamburg;5;1; Hertha
Saison 64; Spieltag 7; Hertha;1;2; Braunschweig
Saison 64; Spieltag 7; Karlsruhe;0;3; VfB Stuttgart
Saison 64; Spieltag 7;1860;5;0; Nuernberg
Saison 64; Spieltag 7; Schalke;2;2; Duisburg
Saison 64; Spieltag 7; Saarbruecken;2;4; Kaiserslautern
Saison 64; Spieltag 7; Bremen;4;2; Hamburg
Saison 64; Spieltag 7; Muenster;1;2; Dortmund
Saison 64; Spieltag 7; Frankfurt;1;0; 1. FC Koeln
Saison 64; Spieltag 8; 1. FC Koeln;3;0; Muenster
Saison 64; Spieltag 8; VfB Stuttgart;0;0; Frankfurt
Saison 64; Spieltag 8; Dortmund;7;2; Hertha
Saison 64; Spieltag 8; Kaiserslautern;1;0; Karlsruhe
Saison 64; Spieltag 8; Hamburg;5;0;1860
Saison 64; Spieltag 8; Braunschweig;1;1; Bremen
Saison 64; Spieltag 8; Duisburg;3;1; Saarbruecken
Saison 64; Spieltag 8; Nuernberg;0;2; Schalke
Saison 64; Spieltag 9; Saarbruecken;1;3; Karlsruhe
Saison 64; Spieltag 9; VfB Stuttgart;2;1; Dortmund
Saison 64; Spieltag 9; Nuernberg;0;5; Kaiserslautern
Saison 64; Spieltag 9; Hertha;1;3; Frankfurt
Saison 64; Spieltag 9; Hamburg;2;1; Braunschweig
Saison 64; Spieltag 9; Schalke;3;0; Bremen
Saison 64; Spieltag 9; Muenster;0;0;1860
Saison 64; Spieltag 9; 1. FC Koeln;3;3; Duisburg
Saison 64; Spieltag 10;1860;7;1; Saarbruecken
Saison 64; Spieltag 10; Bremen;2;2; Hertha
Saison 64; Spieltag 10; Dortmund;3;1; Nuernberg
Saison 64; Spieltag 10; Braunschweig;1;1; 1. FC Koeln
Saison 64; Spieltag 10; Frankfurt;1;2; Schalke
Saison 64; Spieltag 10; Karlsruhe;4;2; Muenster
Saison 64; Spieltag 10; Duisburg;4;0; Hamburg
Saison 64; Spieltag 10; Kaiserslautern;1;3; VfB Stuttgart
Saison 64; Spieltag 11; Schalke;1;0; Hertha
Saison 64; Spieltag 11; 1. FC Koeln;4;1; Hamburg
Saison 64; Spieltag 11; VfB Stuttgart;1;0; Nuernberg
Saison 64; Spieltag 11; Saarbruecken;1;1; Muenster
Saison 64; Spieltag 11; Bremen;4;1; Frankfurt
Saison 64; Spieltag 11; Dortmund;9;3; Kaiserslautern
Saison 64; Spieltag 11; Braunschweig;0;0; Duisburg
Saison 64; Spieltag 11;1860;1;0; Karlsruhe
Saison 64; Spieltag 12; Karlsruhe;1;1; Bremen
Saison 64; Spieltag 12; Kaiserslautern;2;1; Braunschweig
Saison 64; Spieltag 12; Frankfurt;2;1;1860
Saison 64; Spieltag 12; Hertha;3;2; Saarbruecken
Saison 64; Spieltag 12; Muenster;2;2; Schalke
Saison 64; Spieltag 12; Hamburg;1;1; VfB Stuttgart
Saison 64; Spieltag 12; Duisburg;3;3; Dortmund
Saison 64; Spieltag 12; Nuernberg;2;2; 1. FC Koeln
Saison 64; Spieltag 13; Schalke;2;1;1860
Saison 64; Spieltag 13; Nuernberg;0;0; Duisburg
Saison 64; Spieltag 13; Hertha;2;3; Karlsruhe
Saison 64; Spieltag 13; Frankfurt;3;0; Muenster
Saison 64; Spieltag 13; Bremen;0;3; Saarbruecken
Saison 64; Spieltag 13; Kaiserslautern;3;2; Hamburg
Saison 64; Spieltag 13; Dortmund;2;3; 1. FC Koeln
Saison 64; Spieltag 13; VfB Stuttgart;5;0; Braunschweig
Saison 64; Spieltag 14; Duisburg;3;0; VfB Stuttgart
Saison 64; Spieltag 14; Saarbruecken;0;4; Frankfurt
Saison 64; Spieltag 14; 1. FC Koeln;5;1; Kaiserslautern
Saison 64; Spieltag 14;1860;1;2; Hertha
